label,ID,time,TD1,CELLS,FB1,FB2,FB3,FB4,RTK1i_blood,RAFi_gut,RAFi_blood,MEKi_gut,MEKi_blood,ERKi_gut,ERKi_blood,AKTi_gut,AKTi_blood,MEKi_V3,RTK1i_gut,ERKi,ERKi_C,RAFi,MEKi,TUMOR,GDC,labelf,gdc
No Treatment,25,56,0.9959256810595147,0.99899563028479,0.6252296720409435,0.6252296720407555,0.6252296720296743,0.7446094827706851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99899563028479,0,No Treatment,FALSE
No Treatment,26,56,0.9952873937510952,1.6310267591326846,0.5656245908100043,0.5656245908100167,0.5656245908101175,0.8014548338281219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6310267591326846,0,No Treatment,FALSE
No Treatment,27,56,0.9987381716997382,1.4981191814453894,0.92501859217112,0.9250185921716578,0.9250185921655714,0.7810801626589784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4981191814453894,0,No Treatment,FALSE
No Treatment,28,56,0.9946593341031115,1.1747506571292057,0.571074783962136,0.5710747839628472,0.5710747840018168,0.7776715303876391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1747506571292057,0,No Treatment,FALSE
No Treatment,29,56,0.9971587790511672,1.6692724933540348,0.7697195014091928,0.7697195014095313,0.7697195013523603,0.28087667881904793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6692724933540348,0,No Treatment,FALSE
No Treatment,30,56,0.9946174102424138,1.4217537137984488,0.5695802547415736,0.5695802547332822,0.5695802547137825,0.7397542082181106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4217537137984488,0,No Treatment,FALSE
No Treatment,31,56,0.9950209948457903,1.442059322452346,0.5656871579414942,0.5656871578985944,0.5656871579063636,0.7692835980300688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.442059322452346,0,No Treatment,FALSE
No Treatment,32,56,0.9988244750444719,1.4972517209236096,0.9525965564194587,0.9525965564200586,0.9525965564308965,0.7627464059357596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4972517209236096,0,No Treatment,FALSE
No Treatment,33,56,0.996791982529545,1.842724593964406,0.6741326890467394,0.6741326890467497,0.6741326890465303,0.695644024927515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842724593964406,0,No Treatment,FALSE
No Treatment,34,56,0.9949903375767977,1.051986011499717,0.5700588244182433,0.5700588244165544,0.5700588244360543,0.6910174771024484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051986011499717,0,No Treatment,FALSE
No Treatment,35,56,0.9976190486677639,1.4167581507677947,0.7997170623741828,0.7997170623659676,0.7997170624071889,0.47762677641284534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4167581507677947,0,No Treatment,FALSE
No Treatment,36,56,0.9977701575613518,2.214377978958997,0.7697640179875432,0.7697640179875397,0.7697640179876901,0.6230407978575396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214377978958997,0,No Treatment,FALSE
No Treatment,37,56,0.9949251968729349,0.9909389065145128,0.5710221064369089,0.5710221064386714,0.5710221064569934,0.6447046285765536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9909389065145128,0,No Treatment,FALSE
No Treatment,38,56,0.9981058338316939,1.0394784481152202,0.8271004764058362,0.8271004764064034,0.8271004764220886,0.6664373746274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0394784481152202,0,No Treatment,FALSE
No Treatment,39,56,0.9984291735632959,1.96019717783605,0.8762875360005047,0.8762875360005017,0.8762875360004363,0.7510025473458579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96019717783605,0,No Treatment,FALSE
No Treatment,40,56,0.9982688174652568,1.777760295556632,0.8456344812130953,0.8456344812134162,0.8456344812205764,0.7136250452066231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777760295556632,0,No Treatment,FALSE
No Treatment,41,56,0.9984118496292413,1.6097661547196531,0.8566551606293573,0.8566551606265699,0.856655160619939,0.5413924698988766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6097661547196531,0,No Treatment,FALSE
No Treatment,42,56,0.9953436178123788,1.0490688567914568,0.5691934736049689,0.5691934736078823,0.5691934735976345,0.7904073729988861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0490688567914568,0,No Treatment,FALSE
